X;Y;Z
17.749913;5.009692;-1.329606
17.823613;2.08405;-0.256337
17.686336;1.781083;1.756436
17.724592;6.305691;2.840567
17.622159;4.84967;7.539361
17.641654;3.699399;2.695398
18.140268;2.913031;-4.939573
17.609782;3.038807;8.002624
17.776573;5.18063;0.714394
17.765449;9.022919;1.763035
17.369284;0.840893;6.866381
17.376634;0.893852;7.227017
17.80826;6.276836;-5.375358
17.853566;2.857461;-4.39468
17.444173;1.131985;6.516363
17.815514;0.80214;-6.396742
17.731719;1.992254;-0.816737
17.792896;6.362539;-4.448517
17.716244;8.672021;0.230663
17.742031;5.967348;5.418881
17.710541;2.670249;1.530336
17.715738;10.384558;0.735982
17.760509;9.710101;-2.510005
17.692567;3.93996;-0.266171
17.90392;2.187403;-2.64928
17.71697;9.722971;1.160916
17.870863;3.942338;-0.959326
17.52127;7.567827;0.864597
17.749861;2.797189;-1.150311
17.637141;2.737237;5.931534
17.700466;9.945481;-2.214751
17.852557;3.803979;-4.313471
17.803299;4.220963;-5.878018
17.719447;7.26424;0.189464
17.377181;0.557763;5.906998
17.876127;4.326608;-5.460176
17.670323;5.962208;4.401815
17.805571;3.757763;-5.405727
18.039821;4.631872;-2.618228
17.635922;3.768325;6.14716
17.856562;3.826307;-2.305824
17.665195;7.364034;4.553616
17.883802;4.537452;-3.246116
17.81685;1.808113;-5.817151
17.691672;9.111472;3.205285
17.843344;1.589996;-8.111451
17.88755;4.473718;-4.816669
17.852496;3.669317;-2.370396
17.994834;5.762007;-2.681717
17.640386;7.659149;6.943511
17.672041;7.554979;4.213628
17.64518;1.404475;5.175533
17.632269;1.157728;5.163978
17.854064;3.151925;-1.234464
17.742443;9.282213;-1.821537
17.62981;5.761321;7.593198
17.647818;4.608894;6.139245
17.817763;2.560498;-5.854053
17.680675;8.143869;3.549607
17.688418;6.187322;3.102367
17.756767;3.798683;-2.352657
17.743745;9.05795;-1.301539
17.642688;4.094304;5.408355
17.819247;0.740388;-8.028507
17.74083;1.806979;-1.6163
17.857422;6.05131;1.579974
17.625909;9.113628;-2.969397
17.949472;6.218774;-3.445758
17.621934;4.445407;7.467534
17.806471;3.188704;0.592056
17.686447;3.827625;5.751482
17.748134;8.093988;-2.274416
17.728223;10.327761;-0.400667
17.895451;0.813113;-3.71794
17.907104;4.531274;-2.746414
17.768474;1.313768;-3.136767
17.622056;0.593867;5.073366
17.704289;7.252609;1.217602
17.768669;1.897141;5.003121
17.826992;2.841733;0.197441
17.797251;8.03394;-4.832864
17.698736;4.890157;2.229033
17.786967;0.937289;-4.417715
17.797422;2.432907;-4.598125
17.778468;4.081808;0.058477
17.574795;2.330966;8.000378
17.637618;7.093497;6.749671
17.549007;1.918252;6.982869
17.627155;3.971583;6.240452
17.769316;5.190946;-2.523756
17.788847;2.821018;-3.638449
17.884963;2.350876;-3.333994
17.816696;6.168931;-6.038509
17.708336;4.300397;0.193267
17.74435;7.739212;-1.028503
17.636071;2.71113;6.178966
17.674552;4.837945;6.602878
17.651129;2.914627;5.202205
17.748257;2.41135;5.078497
17.631034;7.52114;7.062783
17.691112;3.586239;5.265048
17.738257;8.43624;-1.773002
17.637228;7.720163;4.167349
17.801519;5.368837;2.093024
17.792336;2.146894;-4.361613
17.81956;5.822514;-1.463066
17.620999;3.242049;7.026281
17.784229;6.03113;-3.778846
17.772428;1.271501;-6.449212
17.707986;2.754269;5.254091
17.745605;5.094925;-4.155294
17.843509;5.652512;2.66866
17.700459;5.153257;-3.428489
17.615655;7.052417;7.889051
17.693044;2.079102;0.167072
17.80801;0.878815;-6.118151
17.675401;5.560707;3.340039
17.72522;2.173935;-0.985789
17.883009;1.587252;-4.029244
17.687537;9.518402;1.603594
17.747329;5.003831;3.810198
17.826359;3.219582;-3.927655
17.627978;7.284255;7.190436
17.753716;2.248741;1.313602
17.451868;1.310876;6.750258
17.719112;4.248333;1.336905
17.791801;2.68084;-4.093113
17.664546;7.241069;4.635372
18.102743;4.409084;-7.125222
17.693214;3.635036;4.277953
17.742061;3.963461;-1.691445
17.83907;5.906016;-8.63573
17.688901;5.881348;2.494982
18.018258;2.453409;4.861772
17.849513;3.257814;-8.553844
17.825157;7.616001;-6.601799
17.795903;9.257216;2.158443
17.778015;2.435862;-3.463599
17.812501;5.52514;-1.008322
17.612495;4.70239;8.052996
17.741392;5.455908;-0.308891
17.651673;4.984776;5.715046
17.702241;3.299294;1.250907
17.860451;5.243722;-1.957471
17.86583;5.421751;-1.769227
17.843086;6.000181;-8.717231
17.735689;10.555144;-0.665767
17.709027;4.294967;0.130975
17.893379;1.487999;-4.30699
17.791393;3.872404;-4.772675
17.695751;8.196331;1.981289
17.643221;2.744808;5.51074
17.737754;2.946827;-0.27875
17.645543;2.028634;5.36285
17.73816;10.086434;-1.827665
17.793803;6.545164;-1.904351
17.847959;4.833822;-4.839944
17.811937;7.207826;-5.634608
17.74891;3.065543;-1.139151
17.868863;5.997681;0.284517
17.736493;4.613909;1.6084
17.777962;9.130663;-3.376594
17.656645;6.012962;6.001118
17.722414;9.132023;-3.654214
17.74491;8.671344;1.117674
17.780829;8.743548;-3.761632
17.702755;3.146573;6.992903
17.826592;6.38487;-7.40698
17.705158;0.925554;0.419193
17.627752;2.426043;7.345335
17.790324;7.462975;-4.522839
17.833694;3.383378;-7.256102
17.767221;1.942728;1.074765
17.645386;4.766692;6.084547
17.614999;6.955453;7.931428
17.815571;6.749267;-0.59762
17.733189;2.803782;-0.19117
17.723617;10.153228;-0.056001
17.628737;7.53205;7.204785
17.796043;4.262079;-5.420693
17.709113;1.657673;0.524184
17.671328;6.75973;4.39951
17.867937;6.362924;-0.923119
17.797292;6.503787;-1.699926
17.68698;9.905001;2.066024
17.805279;2.714016;-5.023302
18.221109;2.788286;-6.027045
17.670877;5.988688;4.722602
17.869512;2.878938;-2.777484
17.653725;4.263023;4.60662
17.65004;4.439936;6.326841
17.710739;6.93786;0.935853
17.456219;1.223442;6.010092
17.721774;8.760278;-3.178824
17.795243;1.508924;-4.830444
17.720494;9.010864;0.201942
17.734381;5.362115;5.37921
17.734417;7.075849;-0.651517
17.65215;2.505032;6.109294
17.684273;7.370167;1.777854
17.676118;2.370597;5.646748
17.822878;9.052727;2.765547
17.832864;4.644796;-8.225255
17.842432;6.807327;-8.731165
17.768096;5.965708;-2.847049
17.789084;1.902883;-5.793814
17.414965;1.118526;6.955121
17.729121;10.402181;-1.219661
17.772875;4.740287;-3.08691
17.881443;2.51121;-1.570654
17.805593;5.340239;-5.844644
17.628501;6.489743;7.761818
17.718883;9.72818;0.196134
17.691595;8.136506;2.444144
17.317737;0.778341;7.30174
17.77217;6.054828;3.570777
17.706331;2.675358;-4.507094
17.662657;4.311512;4.495789
17.623257;3.484323;6.885367
17.740592;0.924824;-0.411913
17.820033;5.383686;-6.847322
17.333888;1.512853;6.385842
17.745146;5.871697;-1.23819
17.740051;10.406302;-1.577384
17.748195;1.402733;5.065432
17.696281;2.264816;1.534673
17.645828;2.389906;5.460681
17.79769;8.733675;-4.86681
17.699586;4.798214;3.73556
17.840743;7.305408;-8.210988
17.843209;2.168039;-7.842979
17.71529;5.609019;0.742401
17.660128;7.517119;5.424619
17.686016;3.154853;6.749474
